Proj_Ref,Calc_Stage,GIFA_(m2),No_storeys,Basement,Found_Type,Supstr_Type,Supstr_Cr_elems,Supstr_uw,Clad_Type,Concr(kg/m2),Masnry&Blwk(m2/m2),Reinf(kg/m2),Steel_Sec(kg/m2),Timber_Prod(kg/m2),Concrete_Carbon_(A1-A5)_(kgCO2e/m2),Masonry_& Blockwork_Carbon_(A1-A5)_(kgCO2e/m2),Reinforcement_Carbon_(A1-A5)_(kgCO2e/m2),Steel_(Sections)_Carbon_(A1-A5)_(kgCO2e/m2),Timber_(Products)_Carbon_(A1-A5)_(kg/m2),Total_Carbon_(A1-A5)_(kgCO2e/m2)
116,Stage_5,3387.218,1_to_3,False,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,777.696,0.819,44.464,32.336,168.046,108.0973,0.0,71.5893,41.7704,90.3934,311.8504
117,Stage_5,11437.344,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,44.464,6.39,33.475,158.6327,0.0,105.2892,0.0,0.0,263.9219
118,Stage_5,10095.656,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1430.18,0.819,44.464,6.39,33.475,192.2236,0.0,108.0344,0.0,0.0,300.258
121,Stage_5,11437.344,4_to_6,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,908.192,0.819,14.718,84.075,33.475,117.2144,0.0,60.0851,128.274,0.0,305.5735
135,Stage_5,693.11,4_to_6,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,777.696,0.819,14.718,97.01,33.475,87.8953,0.0,25.552,147.0265,0.0,260.4738
123,As_Built,2045.532,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,2213.162,0.819,103.75,6.39,33.475,231.4302,0.0,229.2565,0.2856,0.0,460.9724
125,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,74.107,19.402,33.475,130.0967,0.0,150.5963,27.0051,7.3283,315.0264
126,As_Built,2045.532,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,2213.162,0.819,103.75,32.336,33.475,246.5122,0.0,205.7317,56.3903,0.0,508.6342
127,Stage_4,693.11,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1952.168,0.819,163.036,6.39,33.475,278.5836,0.0,331.2877,0.0,0.0,609.8713
128,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1560.678,0.819,103.75,19.402,33.475,207.4871,0.0,192.3195,24.2141,0.0,424.0207
129,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,908.192,0.819,44.464,45.272,33.475,121.003,0.0,66.8171,67.2376,14.6666,269.7244
130,As_Built,2045.532,7_to_10,True,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Masonry,647.198,0.819,44.464,45.272,33.475,99.0182,0.0,42.5846,106.5633,0.0,248.1662
131,Stage_5,10095.656,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1821.671,0.819,74.107,6.39,33.475,222.1972,0.0,188.7963,8.7928,0.0,419.7863
132,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1299.684,0.819,44.464,109.944,33.475,84.0888,0.0,48.8938,150.2306,0.0,283.2132
133,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Other,647.198,0.819,14.718,84.075,33.475,242.9739,0.0,104.7145,281.9146,0.0,629.6029
137,As_Built,2045.532,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1560.678,0.819,74.107,6.39,33.475,484.804,0.0,479.5222,16.0812,0.0,980.4074
138,As_Built,10095.656,4_to_6,False,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Other,1038.69,0.819,44.464,6.39,100.828,98.3731,0.0,168.6975,3.4639,78.1784,348.7129
139,As_Built,6070.594,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1691.174,0.819,133.392,6.39,33.475,36.7342,0.0,26.7754,77.9787,0.0,141.4883
140,As_Built,2045.532,1_to_3,True,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1038.69,0.819,44.464,148.748,33.475,191.8603,0.0,155.1039,1.331,0.0,348.2952
141,As_Built,2045.532,4_to_6,False,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,74.107,6.39,33.475,91.5066,0.0,72.2074,8.2558,0.0,171.9698
142,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,908.192,0.819,44.464,6.39,33.475,82.8114,0.0,62.1933,0.0,0.0,145.0047
143,As_Built,693.11,1_to_3,False,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Other,1038.69,0.819,44.464,6.39,33.475,392.6849,0.0,381.3037,0.0,0.0,773.9885
144,Stage_5,3387.218,1_to_3,False,Mass(Pads/Strips),Timber_Frame(Glulam&CLT),No_elems,low,Other,1169.186,0.819,14.718,6.39,100.828,144.0748,0.0,41.853,1.5404,69.2775,256.7457
149,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1821.671,0.819,163.036,32.336,33.475,231.5603,0.0,359.3547,43.1491,0.0,634.0641
150,As_Built,2045.532,1_to_3,True,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Other,1691.174,0.819,14.718,58.206,33.475,177.5406,0.0,61.3853,97.7205,0.0,336.6463
151,As_Built,3387.218,1_to_3,False,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,44.464,6.39,33.475,151.0297,0.0,91.135,0.7835,0.0,242.9481
152,As_Built,20829.156,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,74.107,6.39,33.475,156.4558,0.0,139.8211,0.0,0.0,296.2769
